央视频道,#genre#
主视角-标清,http://101.17.192.171:8007/rtp/239.253.93.128:6296
辅视角 1-标清,http://101.17.192.171:8007/rtp/239.253.93.129:6297
辅视角 2-标清,http://101.17.192.171:8007/rtp/239.253.93.130:6298
辅视角 3-标清,http://101.17.192.171:8007/rtp/239.253.93.131:6299
临时直播频道2,http://101.17.192.171:8007/rtp/239.253.92.21:6226
临时直播频道3,http://101.17.192.171:8007/rtp/239.253.92.216:6227
临时直播频道4,http://101.17.192.171:8007/rtp/239.253.92.219:6228
临时直播频道5,http://101.17.192.171:8007/rtp/239.253.92.220:6229
九屏直播频道,http://101.17.192.171:8007/rtp/239.253.92.203:6150
慢直播九屏2,http://101.17.192.171:8007/rtp/239.253.94.26:6625

河北,#genre#
河北公共,http://106.113.149.200:2222/rtp/239.254.200.22:6000
河北公共高清,http://101.17.192.171:8007/rtp/239.253.92.175:6005
河北农民,http://106.113.149.200:2222/rtp/239.254.200.23:6000
河北农民高清,http://101.17.192.171:8007/rtp/239.253.92.176:6006
河北少儿科教,http://106.113.149.200:2222/rtp/239.254.200.21:6000
